audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict,audit_source_url
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,002382,蓝帆医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为健康防护产品,心脑血管产品、健康防护产品、应急救护产品,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“心脑血管产品、健康防护产品、应急救护产品”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002426,胜利精密,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为消费电子,消费电子、汽车零部件,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“消费电子、汽车零部件”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,002551,尚荣医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为医疗产品生产销售收入,医疗服务收入、医疗产品生产销售收入、健康产业运营收入,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“医疗服务收入、医疗产品生产销售收入、健康产业运营收入”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,002587,奥拓电子,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED视频显示系统,LED视频显示系统、网点智能化集成与设备、智能景观亮化工程、服务及其它、软件及内容,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED视频显示系统、网点智能化集成与设备、智能景观亮化工程、服务及其它、软件及内容”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002635,安洁科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为智能终端功能件和精密结构件以及模组类产品,智能终端功能件和精密结构件以及模组类产品、新能源汽车类产品、信息存储类产品,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“智能终端功能件和精密结构件以及模组类产品、新能源汽车类产品、信息存储类产品”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到集成电路材料直接证据；当前主要依赖电子化学品Ⅲ,cn,002643,万润股份,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,主营+行业映射,公司主营业务为功能性材料类,功能性材料类、生命科学与医药类,,电子,电子化学品,电子化学品Ⅲ,2026-08-30复核：生产主营“功能性材料类、生命科学与医药类”，行业分类“电子/电子化学品/电子化学品Ⅲ”；归入集成电路材料,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002681,奋达科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为电声产品,电声产品、健康电器、智能可穿戴产品、智能门锁,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“电声产品、健康电器、智能可穿戴产品、智能门锁”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端装备直接证据；当前主要依赖机器人,cn,002698,博实股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营/战略文本,公司主营业务为固体物料后处理智能制造装备,固体物料后处理智能制造装备、智能物流与仓储系统、机器人+、橡胶后处理智能制造装备、环保工艺技术及成套装备、补充类工业服务及其它、运维、售后类工业服务,,机械设备,自动化设备,机器人,2026-08-30复核：生产主营业务“固体物料后处理智能制造装备、智能物流与仓储系统、机器人+、橡胶后处理智能制造装备、环保工艺技术及成套装备、补充类工业服务及其它、运维、售后类工业服务”命中“智能制造装备”；归入高端装备,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到PCB直接证据；当前主要依赖底盘与发动机系统,cn,002708,光洋股份,4,国家重点扶持产业,第一梯队：AI+超级主线,PCB,主营/战略文本,公司主营业务为轴承产品,轴承产品、同步器行星排产品、毛坯加工、线路板业务,,汽车,汽车零部件,底盘与发动机系统,2026-08-30复核：生产主营业务“轴承产品、同步器行星排产品、毛坯加工、线路板业务”命中“线路板”；归入PCB,20260830_NEW,False,
D_确认需修正,主营为LED照明及灯具业务，不应归为新型显示,cn,002745,木林森,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为朗德万斯,朗德万斯、木林森,,电子,光学光电子,LED,2026-08-30复核：生产主营“朗德万斯、木林森”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,https://static.cninfo.com.cn/finalpage/2025-04-25/1223267731.PDF
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002855,捷荣技术,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为精密结构件,精密结构件、精密模具、手机电脑配件分销（代理）,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“精密结构件、精密模具、手机电脑配件分销（代理）”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002866,传艺科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为笔记本及台式机电脑键盘等输入设备及配件,,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“公司主营业务为笔记本及台式机电脑键盘等输入设备及配件”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,002901,大博医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为创伤类产品,创伤类产品、脊柱类产品、微创外科类产品、关节类产品、神经外科类产品、手术器械类产品、齿科类产品,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“创伤类产品、脊柱类产品、微创外科类产品、关节类产品、神经外科类产品、手术器械类产品、齿科类产品”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002925,盈趣科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为智能控制部件,智能控制部件、创新消费电子产品、汽车电子产品、健康环境产品、技术研发服务,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“智能控制部件、创新消费电子产品、汽车电子产品、健康环境产品、技术研发服务”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002947,恒铭达,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为精密柔性结构件,精密柔性结构件、精密金属结构件,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“精密柔性结构件、精密金属结构件”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,002950,奥美医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为外科与伤口护理,外科与伤口护理、卫生护理、感染防护、高级敷料,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“外科与伤口护理、卫生护理、感染防护、高级敷料”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,002955,鸿合科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为IWB产品,IWB产品、智能视听解决方案,,电子,光学光电子,面板,2026-08-30复核：生产主营“IWB产品、智能视听解决方案”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002981,朝阳科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为耳机成品,耳机成品、音响类,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“耳机成品、音响类”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,002983,芯瑞达,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示模组,显示模组、显示终端、健康智能光源,,电子,光学光电子,LED,2026-08-30复核：生产主营“显示模组、显示终端、健康智能光源”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,002992,宝明科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED背光源,LED背光源、液晶面板深加工、锂电复合铜箔,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED背光源、液晶面板深加工、锂电复合铜箔”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002993,奥海科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为充电器及适配器,充电器及适配器、新能源汽车电控与电源系统解决方案,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“充电器及适配器、新能源汽车电控与电源系统解决方案”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300032,金龙机电,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为结构件,马达、触控显示模组、结构件、电子雾化器及相关配件,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“马达、触控显示模组、结构件、电子雾化器及相关配件”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,300219,鸿利智汇,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED封装产品,LED封装产品、汽车照明产品,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED封装产品、汽车照明产品”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,300232,洲明科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智慧显示,智慧显示、智能照明、文创灯光,,电子,光学光电子,LED,2026-08-30复核：生产主营“智慧显示、智能照明、文创灯光”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300238,冠昊生物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为代理品,生物型硬脑（脊）膜补片、胸普外科修补膜、无菌生物护创膜、B型硬脑（脊）膜补片、乳房补片、代理品、细胞技术服务、本维莫德,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“生物型硬脑（脊）膜补片、胸普外科修补膜、无菌生物护创膜、B型硬脑（脊）膜补片、乳房补片、代理品、细胞技术服务、本维莫德”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300256,星星科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为触控显示类,触控显示类、视窗防护屏类、结构件类、电动自行车、电动摩托车、电动车配件,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“触控显示类、视窗防护屏类、结构件类、电动自行车、电动摩托车、电动车配件”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,300269,联建光电,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为数字设备,数字设备,,电子,光学光电子,LED,2026-08-30复核：生产主营“数字设备”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,300296,利亚德,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智能显示,智能显示、文旅夜游、AI与空间计算,,电子,光学光电子,LED,2026-08-30复核：生产主营“智能显示、文旅夜游、AI与空间计算”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖LED,cn,300303,聚飞光电,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED产品,LED产品,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED产品”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端装备直接证据；当前主要依赖轨交设备Ⅲ,cn,300351,永贵电器,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营+行业映射,公司主营业务为车载与能源信息板块,车载与能源信息板块、轨道交通与工业板块,,机械设备,轨交设备,轨交设备Ⅲ,2026-08-30复核：生产主营“车载与能源信息板块、轨道交通与工业板块”，行业分类“机械设备/轨交设备/轨交设备Ⅲ”；归入高端装备,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300453,三鑫医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为血液净化类,血液净化类、给药器具类、心胸外科类,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“血液净化类、给药器具类、心胸外科类”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到集成电路材料直接证据；当前主要依赖电子化学品Ⅲ,cn,300481,濮阳惠成,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,主营+行业映射,公司主营业务为顺酐酸酐衍生物,顺酐酸酐衍生物、功能材料中间体,,电子,电子化学品,电子化学品Ⅲ,2026-08-30复核：生产主营“顺酐酸酐衍生物、功能材料中间体”，行业分类“电子/电子化学品/电子化学品Ⅲ”；归入集成电路材料,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300529,健帆生物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为一次性使用血液灌流器,一次性使用血液灌流器、一次性使用血浆胆红素吸附器、血液净化设备、血液透析粉液产品、管路产品、血浆分离器,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“一次性使用血液灌流器、一次性使用血浆胆红素吸附器、血液净化设备、血液透析粉液产品、管路产品、血浆分离器”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新型显示直接证据；当前主要依赖面板,cn,300545,联得装备,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为设备类,设备类、夹治具、线体类,,电子,光学光电子,面板,2026-08-30复核：生产主营“设备类、夹治具、线体类”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,
D_确认需修正,主营LED驱动电源和照明组件，不应归为新型显示,cn,300582,英飞特,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED驱动电源,LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,https://static.cninfo.com.cn/finalpage/2023-03-14/1216109631.PDF
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300595,欧普康视,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为硬性接触镜,硬性接触镜、护理产品、医疗收入、非视光类产品,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“硬性接触镜、护理产品、医疗收入、非视光类产品”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300647,超频三,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为锂离子电池材料,LED照明灯具、散热产品、照明亮化工程、锂离子电池材料,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“LED照明灯具、散热产品、照明亮化工程、锂离子电池材料”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300653,正海生物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为口腔修复膜,口腔修复膜、脑膜系列产品,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“口腔修复膜、脑膜系列产品”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到高端医疗器械直接证据；当前主要依赖医疗耗材,cn,300677,英科医疗,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端医疗器械,主营+行业映射,公司主营业务为个人防护类,个人防护类、康复护理类,,医药生物,医疗器械,医疗耗材,2026-08-30复核：生产主营“个人防护类、康复护理类”，行业分类“医药生物/医疗器械/医疗耗材”；归入高端医疗器械,20260830_NEW,False,
D_确认需修正,交易所披露的可比材料明确说明中石科技产品不含半导体封装材料且客户不涉及半导体封装环节，当前“集成电路材料”标签不成立,cn,300684,中石科技,3,用户常用,第三梯队：卡脖子底座,集成电路材料,主营+行业映射,公司主营业务为导热材料,导热材料、EMI屏蔽材料,,电子,电子化学品,电子化学品Ⅲ,2026-08-30复核：生产主营“导热材料、EMI屏蔽材料”，行业分类“电子/电子化学品/电子化学品Ⅲ”；归入集成电路材料,20260830_NEW,False,https://static.cninfo.com.cn/finalpage/2025-08-16/1224500367.PDF
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300709,精研科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为MIM零部件及组件,MIM零部件及组件、精密塑胶零部件及组件、终端产品,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“MIM零部件及组件、精密塑胶零部件及组件、终端产品”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300735,光弘科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为消费电子类,消费电子类、汽车电子类,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“消费电子类、汽车电子类”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300784,利安科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为注塑产品,注塑产品、精密注塑模具,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“注塑产品、精密注塑模具”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300787,海能实业,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为电源适配器,互联、信号适配器、电源适配器,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“互联、信号适配器、电源适配器”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300793,佳禾智能,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为耳机,耳机、音箱、音频线,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“耳机、音箱、音频线”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
D_确认需修正,定期报告确认主营LED移动/家居照明及小家电，不应归为新型显示,cn,300808,久量股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED移动照明,LED移动照明、LED家居照明、移动家居小电器,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED移动照明、LED家居照明、移动家居小电器”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,https://static.cninfo.com.cn/finalpage/2025-08-27/1224585874.PDF
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,300822,贝仕达克,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为智能控制器,智能控制器、智能产品、地板护理清洁工具,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“智能控制器、智能产品、地板护理清洁工具”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
